Date,Date,,# of cases,# of deaths
2020-12-25,2020-12-25,​ ​ ​,"913,483(+0.13%)","12,038(+0.07%)"
2020-12-26,2020-12-26,​ ​ ​,"914,488(+0.11%)","12,039(+0.01%)"
2020-12-27,2020-12-27,​ ​ ​,"915,345(+0.09%)","12,044(+0.04%)"
2020-12-28,2020-12-28,​ ​ ​,"916,256(+0.1%)","12,051(+0.06%)"
2020-12-29,2020-12-29,​ ​ ​,"916,909(+0.07%)","12,062(+0.09%)"
2020-12-30,2020-12-30,​ ​ ​,"917,571(+0.07%)","12,070(+0.07%)"
2020-12-31,2020-12-31,​ ​ ​,"918,544(+0.11%)","12,074(+0.03%)"
2021-01-01,2021-01-01,​ ​ ​,"919,496(+0.1%)","12,081(+0.06%)"
2021-01-02,2021-01-02,​ ​ ​,"920,373(+0.1%)","12,090(+0.07%)"
2021-01-03,2021-01-03,​ ​ ​,"921,128(+0.08%)","12,096(+0.05%)"
2021-01-04,2021-01-04,​ ​ ​,"921,938(+0.09%)","12,099(+0.02%)"
2021-01-05,2021-01-05,​ ​ ​,"922,538(+0.07%)","12,107(+0.07%)"
2021-01-06,2021-01-06,​ ​ ​,"923,353(+0.09%)","12,110(+0.02%)"
2021-01-07,2021-01-07,​ ​ ​,"924,137(+0.08%)","12,118(+0.07%)"
2021-01-08,2021-01-08,​ ​ ​,"924,898(+0.08%)","12,124(+0.05%)"
2021-01-09,2021-01-09,​ ​ ​,"925,868(+0.1%)","12,131(+0.06%)"
2021-01-10,2021-01-10,​ ​ ​,"926,767(+0.1%)","12,134(+0.02%)"
2021-01-11,2021-01-11,​ ​ ​,"927,559(+0.09%)","12,138(+0.03%)"
2021-01-12,2021-01-12,​ ​ ​,"928,055(+0.05%)","12,140(+0.02%)"
2021-01-13,2021-01-13,​ ​ ​,"928,806(+0.08%)","12,144(+0.03%)"
2021-01-14,2021-01-14,​ ​ ​,"929,552(+0.08%)","12,149(+0.04%)"
2021-01-15,2021-01-15,​ ​ ​,"929,960(+0.04%)","12,152(+0.02%)"
2021-01-16,2021-01-16,​ ​ ​,"930,668(+0.08%)","12,155(+0.02%)"
2021-01-17,2021-01-17,​ ​ ​,"931,252(+0.06%)","12,158(+0.02%)"
2021-01-18,2021-01-18,​ ​ ​,"931,997(+0.08%)","12,162(+0.03%)"
2021-01-19,2021-01-19,​ ​ ​,"932,432(+0.05%)","12,166(+0.03%)"
2021-01-20,2021-01-20,​ ​ ​,"933,077(+0.07%)","12,175(+0.07%)"
2021-01-21,2021-01-21,​ ​ ​,"933,578(+0.05%)","12,181(+0.05%)"
2021-01-22,2021-01-22,​ ​ ​,"934,252(+0.07%)","12,185(+0.03%)"
2021-01-23,2021-01-23,​ ​ ​,"934,576(+0.03%)","12,187(+0.02%)"
2021-01-24,2021-01-24,​ ​ ​,"935,478(+0.1%)","12,190(+0.02%)"
2021-01-25,2021-01-25,​ ​ ​,"936,051(+0.06%)","12,193(+0.02%)"
2021-01-26,2021-01-26,​ ​ ​,"936,426(+0.04%)","12,197(+0.03%)"
2021-01-27,2021-01-27,​ ​ ​,"936,955(+0.06%)","12,200(+0.02%)"
2021-01-28,2021-01-28,​ ​ ​,"937,383(+0.05%)","12,204(+0.03%)"
2021-01-29,2021-01-29,​ ​ ​,"937,933(+0.06%)","12,207(+0.02%)"
2021-01-30,2021-01-30,​ ​ ​,"938,401(+0.05%)","12,209(+0.02%)"
2021-01-31,2021-01-31,​ ​ ​,"938,865(+0.05%)","12,211(+0.02%)"
2021-02-01,2021-02-01,​ ​ ​,"939,387(+0.06%)","12,213(+0.02%)"
2021-02-02,2021-02-02,​ ​ ​,"939,775(+0.04%)","12,217(+0.03%)"
2021-02-03,2021-02-03,​ ​ ​,"940,170(+0.04%)","12,220(+0.02%)"
2021-02-04,2021-02-04,​ ​ ​,"940,596(+0.05%)","12,223(+0.02%)"
